Lesson Number,Lesson Title
Unit 1,
1,Course Introduction
2,Lab Tour; Fund. Skills Review; Units
3,Statics of Particles: Adding Forces
4,Forces & Equilibrium in a Plane  Free Body Diagrams
5,Solving 2D Equilibrium Problems
6,Forces and Moments
7,Couples and Force-Couple Systems
8,Solving Moment Equations
9,Review for GR 1
10,Graded Review #1
Unit 2,
11,Intro to Equilibrium of Rigid Bodies
12,Equilibrium of Rigid Bodies II
13,Solving Equilibrium Problems
14,Centroids and Distributed Loads
15,Truss Analysis:  Method of Joints
16,Truss Analysis:  Method of Sections
17,Solving Truss Analysis Problems
18,Review for GR 2
19,Graded Review #2
Unit 3,
20,Normal Stress
21,Normal Stress & Strain:  Axial Loading
22,Solving Normal Stress & Strain Problems
23,"Design Considerations:  Material Properties, Allowable Stress, Failure Modes, Factor of Safety"
24,Tensile Test Lab
25,Shear Stress
26,Shear Stress due to Torsion
27,Angle of Twist; Solving Torsion Problems
28,Review for GR 3
29,Graded Review #3
Unit 4,
30,Area Moment of Inertia
31,Area Moment of Inertia:  Parallel Axis Theorem
32,Pure Bending
33,Stresses and Deformations due to Bending
34,Combined Loading
35,Solving Combined Loading / Bending Stress and Deformation Problems
36,Shear & Bending Moment Diagrams (graphical)
37,Engineering Design Process
38,Intro to Wing DBT
39,Wing Build Day
40,Wing Test Day
41,Final Exam Review
